rep,method,k,n_clusters_found,n_noise,silhouette,davies_bouldin,ARI_language,NMI_language,purity_language,ARI_language_dropNoise,NMI_language_dropNoise,purity_language_dropNoise,ARI_genre,NMI_genre,purity_genre,ARI_genre_dropNoise,NMI_genre_dropNoise,purity_genre_dropNoise
spectral_meanmel,kmeans,6.0,6,0,0.23068876564502716,0.9627413314925356,-0.05595388724869956,0.07917478131582582,0.6551724137931034,-0.05595388724869956,0.07917478131582582,0.6551724137931034,-0.02399275690357628,0.25039588213858777,0.4827586206896552,-0.02399275690357628,0.25039588213858777,0.4827586206896552
spectral_meanmel,agglomerative_ward,6.0,6,0,0.2436223179101944,0.9096472910554169,-0.05982785381684775,0.08011507922170644,0.6551724137931034,-0.05982785381684775,0.08011507922170644,0.6551724137931034,-0.03979011805859204,0.23117980059803953,0.4827586206896552,-0.03979011805859204,0.23117980059803953,0.4827586206896552
spectral_meanmel,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
spectral_meanmel,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
spectral_meanmel,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
spectral_pca16,kmeans,6.0,6,0,0.022665003314614296,2.1302920984555773,0.0504256712508186,0.1959017917694829,0.7931034482758621,0.0504256712508186,0.1959017917694829,0.7931034482758621,0.024423963133640553,0.30205436379272643,0.5862068965517241,0.024423963133640553,0.30205436379272643,0.5862068965517241
spectral_pca16,agglomerative_ward,6.0,6,0,0.05131835117936134,2.067126404844005,0.03836817421225048,0.17924280475779,0.7586206896551724,0.03836817421225048,0.17924280475779,0.7586206896551724,-0.02572347266881029,0.25902733790594795,0.5517241379310345,-0.02572347266881029,0.25902733790594795,0.5517241379310345
spectral_pca16,dbscan_eps0.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
spectral_pca16,dbscan_eps1,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
spectral_pca16,dbscan_eps1.5,,0,29,,,0.0,0.0,0.6551724137931034,,,,0.0,0.0,0.41379310344827586,,,
